Title,Start Date,End Date,Apply Link,Status
Toycathon,2025-09-15T00:00:00+05:30,2025-09-25T00:00:00+05:30,https://unstop.com/hackathons/toycathon-gravitas25-vit-vellore-1557884,open
SDG-9 HACKTRIX'25 (National Level Hackathon Event),2025-09-15T00:00:00+05:30,2025-09-22T00:00:00+05:30,https://unstop.com/hackathons/sdg-9-hacktrix25-national-level-hackathon-event-srm-institute-of-science-and-technology-kattankulathur-chenna-1557946,open
Callidus - Game Jam,2025-09-14T00:00:00+05:30,2025-10-12T00:00:00+05:30,https://unstop.com/hackathons/callidus-game-jam-atal-bihari-vajpayee-indian-institute-of-information-technology-and-management-1557715,open
CodeQuest 2025 (II Week),2025-09-13T00:00:00+05:30,2025-09-21T14:45:00+05:30,https://unstop.com/hackathons/codequest-2025-ii-week-womens-engineering-college-1557128,open
iOS Fusion 8.0,2025-09-13T00:00:00+05:30,2025-09-25T00:00:00+05:30,https://unstop.com/hackathons/ios-fusion-80-gravitas25-vit-vellore-1557150,open
Design Marathon,2025-09-15T00:00:00+05:30,2025-10-05T23:59:00+05:30,https://unstop.com/hackathons/design-marathon-indian-institute-of-technology-iit-bhubaneswar-1556990,open
Hack The Vault,2025-09-14T00:00:00+05:30,2025-10-20T00:00:00+05:30,https://unstop.com/hackathons/hack-the-vault-cgc-university-mohali-1557476,open
Udgama-2025,2025-09-06T00:00:00+05:30,2025-09-28T00:01:00+05:30,https://unstop.com/hackathons/udgama-2025-jss-science-and-technology-university-jssstu-mysore-1552798,open
Web Hackathon Challenge,2025-09-12T00:00:00+05:30,2025-10-04T23:59:00+05:30,https://unstop.com/hackathons/web-hackathon-challenge-indian-institute-of-technology-iit-bhubaneswar-1556555,open
ZInnovatio Gen Z Innovations Hackathon 3.0-Season 3,2025-09-14T02:22:40+05:30,2025-10-10T07:55:43+05:30,https://unstop.com/hackathons/zinnovatio-gen-z-innovations-hackathon-30-season-3-chandigarh-university-cu-ajitgarh-punjab-1557303,open
HackBattle,2025-09-13T00:00:00+05:30,2025-09-22T00:00:00+05:30,https://unstop.com/hackathons/hackbattle-gravitas25-vit-vellore-1557189,open
